Repository,Company Name,Company URL,Description,Job Page,Tags,Language
coreos/etcd,Red Hat,https://www.redhat.com,Distributed reliable key-value store for the most critical data.,https://www.redhat.com/en/jobs,"etcd, distributed-systems, key-value, consensus, cloud-native",Go
kubernetes/kubernetes,CNCF,https://www.cncf.io,Production-Grade Container Orchestration.,https://www.cncf.io/about/join/careers/,"kubernetes, containers, orchestration, cloud-native, distributed-systems",Go
kubernetes/minikube,CNCF,https://www.cncf.io,Run Kubernetes locally for development and testing.,https://www.cncf.io/about/join/careers/,"kubernetes, development, local, testing, minikube",Go
kubernetes/kubectl,CNCF,https://www.cncf.io,Command line tool for communicating with a Kubernetes cluster.,https://www.cncf.io/about/join/careers/,"kubernetes, cli, kubectl, command-line, devops",Go
kubernetes/dashboard,CNCF,https://www.cncf.io,General-purpose web UI for Kubernetes clusters.,https://www.cncf.io/about/join/careers/,"kubernetes, web-ui, dashboard, monitoring, cluster-management",TypeScript
helm/helm,CNCF,https://www.cncf.io,The Kubernetes Package Manager.,https://www.cncf.io/about/join/careers/,"kubernetes, package-manager, helm, charts, deployment",Go
prometheus/prometheus,CNCF,https://www.cncf.io,Open-source systems monitoring and alerting toolkit.,https://www.cncf.io/about/join/careers/,"monitoring, prometheus, alerting, metrics, time-series",Go
prometheus/alertmanager,CNCF,https://www.cncf.io,Handles alerts sent by Prometheus server.,https://www.cncf.io/about/join/careers/,"alerting, prometheus, notifications, monitoring, deduplication",Go
prometheus/node_exporter,CNCF,https://www.cncf.io,Exporter for machine metrics.,https://www.cncf.io/about/join/careers/,"prometheus, exporter, metrics, monitoring, system-metrics",Go
thanos-io/thanos,CNCF,https://www.cncf.io,Highly available Prometheus setup with long term storage.,https://www.cncf.io/about/join/careers/,"prometheus, monitoring, high-availability, storage, metrics",Go
cortexproject/cortex,CNCF,https://www.cncf.io,"Horizontally scalable, highly available Prometheus.",https://www.cncf.io/about/join/careers/,"prometheus, monitoring, scalable, multi-tenant, metrics",Go
grafana/loki,Grafana Labs,https://grafana.com,Log aggregation system designed to store and query logs from applications.,https://grafana.com/about/hiring,"logging, log-aggregation, grafana, observability, prometheus",Go
grafana/tempo,Grafana Labs,https://grafana.com,High-scale distributed tracing backend.,https://grafana.com/about/hiring,"tracing, distributed-tracing, observability, grafana, tempo",Go
grafana/mimir,Grafana Labs,https://grafana.com,"Horizontally scalable, highly available Prometheus for long-term storage.",https://grafana.com/about/hiring,"prometheus, metrics, scalable, grafana, monitoring",Go
grafana/k6,Grafana Labs,https://grafana.com,Modern load testing tool using Go and JavaScript.,https://grafana.com/about/hiring,"load-testing, performance, testing, k6, javascript",Go
jaegertracing/jaeger,CNCF,https://www.cncf.io,Distributed tracing platform for monitoring microservices.,https://www.cncf.io/about/join/careers/,"tracing, distributed-tracing, monitoring, microservices, observability",Go
open-telemetry/opentelemetry-collector,CNCF,https://www.cncf.io,"Vendor-agnostic implementation on how to receive, process and export telemetry data.",https://www.cncf.io/about/join/careers/,"observability, telemetry, tracing, metrics, logging",Go
open-telemetry/opentelemetry-go,CNCF,https://www.cncf.io,OpenTelemetry Go API and SDK.,https://www.cncf.io/about/join/careers/,"opentelemetry, observability, go, tracing, metrics",Go
open-telemetry/opentelemetry-python,CNCF,https://www.cncf.io,OpenTelemetry Python API and SDK.,https://www.cncf.io/about/join/careers/,"opentelemetry, observability, python, tracing, metrics",Python
signoz/signoz,SigNoz,https://signoz.io,Open-source APM and observability platform. Alternative to DataDog and New Relic.,https://signoz.io/careers/,"apm, observability, monitoring, tracing, open-source",TypeScript
uptrace/uptrace,Uptrace,https://uptrace.dev,Open-source APM with distributed tracing and metrics.,https://uptrace.dev/careers/,"apm, tracing, metrics, observability, golang",Go
victoriametrics/VictoriaMetrics,VictoriaMetrics,https://victoriametrics.com,"Fast, cost-effective monitoring solution and time series database.",https://victoriametrics.com/careers/,"metrics, monitoring, time-series, prometheus, high-performance",Go
m3db/m3,Uber,https://www.uber.com,Distributed time series database and query engine for Prometheus.,https://www.uber.com/us/en/careers/,"time-series, database, prometheus, distributed-systems, metrics",Go
apache/druid,Imply,https://imply.io,High-performance real-time analytics database for event-driven data.,https://imply.io/careers/,"analytics, real-time, olap, database, big-data",Java
apache/pinot,StarTree,https://startree.ai,Real-time distributed OLAP datastore for low-latency high-throughput analytics.,https://startree.ai/careers,"olap, real-time, analytics, distributed-database, big-data",Java
clickhouse/clickhouse-go,ClickHouse,https://clickhouse.com,Golang driver for ClickHouse database.,https://clickhouse.com/company/careers,"clickhouse, golang, driver, database, client",Go
trinodb/trino,Starburst,https://www.starburst.io,Fast distributed SQL query engine for big data analytics.,https://www.starburst.io/careers/,"sql, query-engine, big-data, distributed-systems, analytics",Java
prestodb/presto,PrestoDB,https://prestodb.io,Distributed SQL query engine for big data.,https://prestodb.io/community.html,"sql, query-engine, big-data, distributed-systems, analytics",Java
StarRocks/starrocks,Mirrorship,https://www.mirrorship.cn,Linux Foundation project. Next-gen sub-second MPP OLAP database.,https://www.mirrorship.cn/jobs,"olap, database, analytics, mpp, real-time",C++
apache/doris,SelectDB,https://selectdb.com,Easy-to-use real-time analytical database based on MPP architecture.,https://selectdb.com/careers,"olap, database, analytics, mpp, real-time",C++
apache/hive,Cloudera,https://www.cloudera.com,"Data warehouse software for reading, writing, and managing large datasets.",https://www.cloudera.com/about/careers.html,"data-warehouse, sql, hadoop, big-data, hive",Java
apache/hadoop,Cloudera,https://www.cloudera.com,Framework for distributed processing of large data sets.,https://www.cloudera.com/about/careers.html,"hadoop, big-data, distributed-systems, mapreduce, hdfs",Java
apache/hbase,Cloudera,https://www.cloudera.com,"Distributed, scalable big data store modeled after Google Bigtable.",https://www.cloudera.com/about/careers.html,"database, big-data, nosql, hadoop, distributed-systems",Java
apache/cassandra,DataStax,https://www.datastax.com,Highly-scalable partitioned row store for managing large amounts of data.,https://www.datastax.com/company/careers,"database, nosql, distributed-database, cassandra, scalable",Java
scylladb/scylladb,ScyllaDB,https://www.scylladb.com,NoSQL data store using the seastar framework. Cassandra compatible.,https://www.scylladb.com/company/careers/,"database, nosql, cassandra-compatible, high-performance, distributed-database",C++
datastax/cassandra,DataStax,https://www.datastax.com,DataStax distribution of Apache Cassandra.,https://www.datastax.com/company/careers,"cassandra, database, nosql, distributed-database, datastax",Java
redis/redis,Redis,https://redis.com,"In-memory data structure store used as database, cache and message broker.",https://redis.com/company/careers/,"database, cache, in-memory, key-value, redis",C
valkey-io/valkey,Linux Foundation,https://www.linuxfoundation.org,High-performance data structure server forked from Redis.,https://www.linuxfoundation.org/about/careers,"database, cache, in-memory, key-value, redis-fork",C
dragonflydb/dragonfly,DragonflyDB,https://www.dragonflydb.io,Modern in-memory datastore. Fully compatible with Redis and Memcached APIs.,https://www.dragonflydb.io/careers,"database, cache, in-memory, redis-compatible, high-performance",C++
apache/rocketmq,Alibaba Cloud,https://www.aliyun.com,Cloud-native messaging and streaming platform.,https://www.aliyun.com/about/careers,"messaging, streaming, cloud-native, distributed-systems, mq",Java
nats-io/nats-streaming-server,Synadia,https://synadia.com,NATS streaming system. Deprecated in favor of JetStream.,https://synadia.com/careers,"streaming, messaging, nats, distributed-systems, golang",Go
vitessio/vitess,Vitess,https://vitess.io,Database clustering system for horizontal scaling of MySQL.,https://vitess.io/community,"database, mysql, sharding, horizontal-scaling, kubernetes",Go
cncf/landscape,CNCF,https://www.cncf.io,Cloud Native landscape including all CNCF projects.,https://www.cncf.io/about/join/careers/,"cloud-native, cncf, landscape, projects, ecosystem",JavaScript
apache/incubator-devlake,Merico,https://www.merico.dev,Dev Data Platform for engineering teams to analyze and improve DevOps.,https://www.merico.dev/careers,"devops, analytics, metrics, data-platform, engineering",Go
alluxio/alluxio,Alluxio,https://www.alluxio.io,Data orchestration for analytics and machine learning in the cloud.,https://www.alluxio.io/careers/,"data-orchestration, storage, big-data, cloud, distributed-systems",Java
delta-io/delta,Databricks,https://www.databricks.com,Storage framework that enables building Lakehouse architecture.,https://www.databricks.com/company/careers,"data-lake, lakehouse, storage, big-data, acid",Scala
apache/iceberg,Tabular,https://www.tabular.io,High-performance format for huge analytic tables.,https://www.tabular.io/careers/,"data-lake, table-format, analytics, big-data, apache",Java
apache/hudi,Onehouse,https://www.onehouse.ai,Streaming data lake platform for incremental data pipelines.,https://www.onehouse.ai/careers,"data-lake, streaming, incremental, big-data, spark",Java
ClickHouse/clickhouse-java,ClickHouse,https://clickhouse.com,ClickHouse JDBC driver and Java client.,https://clickhouse.com/company/careers,"clickhouse, java, jdbc, driver, database",Java
duckdb/duckdb,DuckDB,https://duckdb.org,In-process SQL OLAP database management system.,https://duckdb.org/foundation/,"database, olap, sql, in-process, analytics",C++
apache/arrow,Voltron Data,https://voltrondata.com,Cross-language development platform for in-memory analytics.,https://voltrondata.com/careers,"analytics, in-memory, columnar, arrow, cross-language",C++
apache/parquet,Cloudera,https://www.cloudera.com,Columnar storage format for the Hadoop ecosystem.,https://www.cloudera.com/about/careers.html,"storage, columnar, parquet, hadoop, big-data",Java
ceph/ceph,Red Hat,https://www.redhat.com,"Distributed object, block, and file storage platform.",https://www.redhat.com/en/jobs,"storage, distributed-storage, object-storage, block-storage, file-storage",C++
rook/rook,CNCF,https://www.cncf.io,Storage orchestration for Kubernetes.,https://www.cncf.io/about/join/careers/,"storage, kubernetes, orchestration, cloud-native, ceph",Go
minio/minio,MinIO,https://min.io,High-performance object storage for AI and cloud-native applications.,https://min.io/careers,"object-storage, s3-compatible, cloud-native, storage, ai",Go
seaweedfs/seaweedfs,SeaweedFS,https://www.seaweedfs.com,Fast distributed storage system for billions of files.,https://www.seaweedfs.com/,"storage, distributed-storage, object-storage, file-system, scalable",Go
juicedata/juicefs,Juicedata,https://juicedata.io,Distributed POSIX file system built on top of Redis and S3.,https://juicedata.io/en/careers/,"file-system, distributed-storage, s3, redis, cloud-native",Go
snyk/snyk,Snyk,https://snyk.io,Developer security platform for finding and fixing vulnerabilities.,https://snyk.io/careers/,"security, vulnerabilities, developer-security, sast, sca",TypeScript
snyk/cli,Snyk,https://snyk.io,Snyk CLI for finding and fixing known vulnerabilities in dependencies.,https://snyk.io/careers/,"security, cli, vulnerabilities, sca, developer-tools",TypeScript
aquasecurity/trivy,Aqua Security,https://www.aquasec.com,Security scanner for containers and other artifacts.,https://www.aquasec.com/about-us/careers/,"security, container-security, vulnerability-scanner, kubernetes, devops",Go
anchore/grype,Anchore,https://anchore.com,Vulnerability scanner for container images and filesystems.,https://anchore.com/careers/,"security, vulnerability-scanner, container-security, sbom, devops",Go
anchore/syft,Anchore,https://anchore.com,CLI tool and library for generating Software Bill of Materials (SBOM).,https://anchore.com/careers/,"sbom, security, supply-chain, vulnerability, containers",Go
sigstore/cosign,Chainguard,https://www.chainguard.dev,Container signing and verification tool.,https://www.chainguard.dev/careers,"security, signing, containers, supply-chain, sbom",Go
falcosecurity/falco,Sysdig,https://www.sysdig.com,Cloud-native runtime security tool.,https://sysdig.com/careers/,"security, runtime-security, kubernetes, threat-detection, cloud-native",C++
open-policy-agent/opa,Styra,https://www.styra.com,Open Policy Agent for unified policy enforcement.,https://www.styra.com/careers/,"policy, security, authorization, kubernetes, cloud-native",Go
spiffe/spire,CNCF,https://www.cncf.io,SPIFFE Runtime Environment for workload identity.,https://www.cncf.io/about/join/careers/,"security, identity, spiffe, zero-trust, authentication",Go
cert-manager/cert-manager,Jetstack,https://www.jetstack.io,Automatically provision and manage TLS certificates in Kubernetes.,https://www.jetstack.io/careers/,"kubernetes, certificates, tls, security, automation",Go
hashicorp/consul,,,Service networking solution to connect and secure services.,https://www.hashicorp.com/en/careers/open-positions,"service-mesh, networking, service-discovery, consul, distributed-systems",Go
cilium/cilium,Isovalent,https://www.isovalent.com,"eBPF-based networking, observability, and security for cloud native.",https://www.isovalent.com/careers/,"networking, ebpf, kubernetes, security, service-mesh",Go
tetratelabs/getenvoy,Tetrate,https://www.tetrate.io,Envoy binary distribution and extensions.,https://www.tetrate.io/careers/,"envoy, proxy, service-mesh, istio, cloud-native",Go
tetratelabs/istio-distro,Tetrate,https://www.tetrate.io,Tetrate Istio Distribution for production-grade service mesh.,https://www.tetrate.io/careers/,"istio, service-mesh, kubernetes, enterprise, cloud-native",Go
dapr/dapr,Diagrid,https://www.diagrid.io,"Portable, event-driven runtime for building distributed applications.",https://www.diagrid.io/careers,"distributed-systems, microservices, event-driven, cloud-native, runtime",Go
crossplane/crossplane,Upbound,https://www.upbound.io,Cloud Native Control Planes for infrastructure and services.,https://www.upbound.io/careers/,"infrastructure-as-code, kubernetes, cloud-native, control-plane, multi-cloud",Go
argoproj/argo-cd,Akuity,https://www.akuity.io,Declarative continuous deployment for Kubernetes.,https://www.akuity.io/careers/,"gitops, kubernetes, continuous-deployment, argocd, devops",Go
