Repository,Company Name,Company URL,Description,Job Page,Tags,Language
kaltura/nginx-vod-module,Kaltura,https://corp.kaltura.com,NGINX-based MP4 Repackager,https://corp.kaltura.com/company/careers/,"dash, drm, hds, hls, livestream, mp4, mss, nginx, stream, streaming, video, video-streaming, vod",C
unsplash/unsplash-js,Unsplash,https://unsplash.com,🤖 Official JavaScript wrapper for the Unsplash API,https://unsplash.com/hiring,"free, images, photography, photos, pictures, unsplash",TypeScript
SeldonIO/seldon-core,Seldon,https://www.seldon.io,"An MLOps framework to package, deploy, monitor and manage thousands of production machine learning models",https://www.seldon.io/careers/,"aiops, deployment, kubernetes, machine-learning, machine-learning-operations, mlops, production-machine-learning, serving",Go
fossas/fossa-cli,FOSSA,https://fossa.com,"Fast, portable and reliable dependency analysis for any codebase.  Supports license & vulnerability scanning for large monoliths.  Language-agnostic; integrates with 20+ build systems.",https://fossa.com/careers,"open-source-licensing, open-source-vulnerabilities",Haskell
oroinc/crm,Oro Inc.,https://oroinc.com,Main OroCRM package with core functionality.,https://oroinc.com/careers,"crm, crm-platform, crm-system, orocrm, oroplatform, php, symfony",PHP
amazeeio/lagoon,amazee.io,https://www.amazee.io,"Lagoon, the developer-focused application delivery platform",https://www.amazee.io/careers,hacktoberfest,TypeScript
irccloud/ios,IRCCloud,https://www.irccloud.com,IRCCloud iOS App,https://www.irccloud.com/jobs,"chat, ios, ipad, iphone, irc, irccloud, mobile-app",Objective-C
ezsystems/ezplatform,Ibexa,https://ez.no,Meta repository that pulls in all dependencies for clean distribution of Ibexa Platform.,https://ez.no/About-eZ/Careers,"cms, composer-project, dxp, ez-platform, ez-platform-project-variant, php, symfony, symfony-application",Shell
jetbrains/kotlin,JetBrains,https://www.jetbrains.com,"The Kotlin Programming Language. ",https://www.jetbrains.com/careers/jobs/,"compiler, gradle-plugin, intellij-plugin, kotlin, kotlin-library, maven-plugin, programming-language, wasm, webassembly",Kotlin
jetbrains/intellij-community,JetBrains,https://www.jetbrains.com,IntelliJ IDEA & IntelliJ Platform,https://www.jetbrains.com/careers/jobs/,"code-editor, ide, intellij, intellij-community, intellij-platform",Java
arduino/Arduino,Arduino,https://www.arduino.cc,Arduino IDE 1.x,https://www.arduino.cc/en/Careers/Home,"arduino, ide",Java
codecombat/codecombat,CodeCombat,https://codecombat.com,Game for learning how to code.,https://codecombat.com/about#careers,,JavaScript
getsentry/sentry,Sentry,https://sentry.io,Developer-first error tracking and performance monitoring,https://sentry.io/careers/,"apm, crash-reporting, crash-reports, csp-report, devops, django, error-logging, error-monitoring, fair-source, hacktoberfest, monitor, monitoring, python, sentry, tag-production",Python
slic3r/Slic3r,Slic3r,https://slic3r.org,Open Source toolpath generator for 3D printers,https://slic3r.org/blog/job-opportunities/,"3d-printer, 3d-printing, cam, digital-fabrication, stl",C++
chaos-genius/chaos_genius,Chaos Genius,https://www.chaosgenius.io,ML powered analytics engine for outlier detection and root cause analysis.,https://www.chaosgenius.io/about.html,"ai, alert, alert-messages, analytics, anomaly-detection, business-intelligence, data-visualization, dataquality, deep-learning, hacktoberfest, machine-learning, ml, monitoring, monitoring-tool, observability, outlier-detection, python, rootcauseanalysis, seasonality, time-series",Python
metabase/metabase,Metabase,https://www.metabase.com,The easy-to-use open source Business Intelligence and Embedded Analytics tool that lets everyone work with data :bar_chart:,https://www.metabase.com/jobs,"analytics, bi, business-intelligence, businessintelligence, clojure, dashboard, data, data-analysis, data-visualization, database, metabase, mysql, postgres, postgresql, reporting, slack, sql-editor, visualization",Clojure
mattermost/mattermost-server,Mattermost,https://mattermost.com,Mattermost is an open source platform for secure collaboration across the entire software development lifecycle..,https://mattermost.com/careers/,"collaboration, golang, hacktoberfest, mattermost, monorepo, react, react-native",TypeScript
